Ранг,"RGB, байт","SVD float32, байт","Сжатие, раз",MSE до округления,MSE uint8,"PSNR, дБ","Энергия, %","PNG, байт"
1,1440000,16812,85.65310492505353,1998.8697274502192,1998.2824597222223,15.12423484571298,92.94582406103498,280728
5,1440000,84060,17.130620985010708,727.8180391421511,727.5549576388889,19.512145564775544,97.4314701807954,401657
10,1440000,168120,8.565310492505354,458.08304532331744,457.76376180555553,21.5243895145207,98.38338719527782,474990
30,1440000,504360,2.8551034975017844,166.65374623281588,166.4806159722222,25.917166867875846,99.41186520028322,580099
100,1440000,1681200,0.8565310492505354,35.004367516589674,35.03837986111111,32.68536344240771,99.8764667033058,709103
600,1440000,10087200,0.14275517487508924,1.4184072732767612e-24,0.0,inf,100.0,668506
